movie_id,title,Budget,Revenue,Popularity,Genres,Primary_Genre,Genre_Count,Director,Production_Companies,Primary_Production_Company,Production_Company_Count,Release_Date,Cast_Count,Lead_Actor,Second_Lead_Actor,Third_Lead_Actor,Male_Cast_Count,Female_Cast_Count,Unknown_Cast_Gender_Count,Cast_Gender_Ratio,Crew_Count,Producer_Count,Writer_Count,Male_Crew_Count,Female_Crew_Count,Unknown_Crew_Gender_Count,Unique_Department_Count,Top_Crew_Department,Cast_Crew_Ratio,Total_People_Involved,Profit,ROI,Revenue_Budget_Ratio,Budget_Category,Financial_Result,Budget_Efficiency,Popularity_Category,Profitability_Category,Popularity_Profitability_Segment,Release_Year,Release_Month,Release_Month_Name,Release_Quarter,Release_Season,Has_Budget_Data,Has_Revenue_Data,Has_Financial_Data,Has_Genre_Data,Has_Company_Data,Has_Release_Data,title_cleaned ,Genres_cleaned,Primary_Genre_cleaned,Director_cleaned,Production_Companies_cleaned,Primary_Production_Company_cleaned,Lead_Actor_cleaned,Second_Lead_Actor_cleaned,Third_Lead_Actor_cleaned
19995,Avatar,237000000,2923706026,36,"Science Fiction, Action, Adventure",Science Fiction,3,James Cameron,"Dune Entertainment, Lightstorm Entertainment, 20th Century Fox, Ingenious Film Partners",Dune Entertainment,4,16-12-2009,83,Sam Worthington,Zoe Saldana,Sigourney Weaver,20,12,51,1.67,153,2,2,28,10,115,11,Crew,0.54,236,2686706026,1133.63,12.34,Blockbuster Budget,Profit,Highly Efficient,High Popularity,Highly Profitable,High Popularity - Highly Profitable,2009,12,December,Q4,Winter,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,title,"Science Fiction, Action, Adventure",Science Fiction,James Cameron,"Dune Entertainment, Lightstorm Entertainment, 20th Century Fox, Ingenious Film Partners",Dune Entertainment,Sam Worthington,Zoe Saldana,Sigourney Weaver
285,Pirates of the Caribbean: At World's End,300000000,961691209,17.81,"Adventure, Fantasy, Action",Adventure,3,Gore Verbinski,"Jerry Bruckheimer Films, Second Mate Productions, Walt Disney Pictures",Jerry Bruckheimer Films,3,19-05-2007,34,Johnny Depp,Orlando Bloom,Keira Knightley,25,5,4,5,32,5,2,15,8,9,9,Production,1.06,66,661691209,220.56,3.21,Blockbuster Budget,Profit,Efficient,High Popularity,Highly Profitable,High Popularity - Highly Profitable,2007,5,May,Q2,Spring,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Avatar,"Adventure, Fantasy, Action",Adventure,Gore Verbinski,"Jerry Bruckheimer Films, Second Mate Productions, Walt Disney Pictures",Jerry Bruckheimer Films,Johnny Depp,Orlando Bloom,Keira Knightley
206647,Spectre,245000000,880707597,9.26,"Action, Adventure, Thriller",Action,3,Sam Mendes,"Metro-Goldwyn-Mayer, Columbia Pictures, EON Productions",Metro-Goldwyn-Mayer,3,26-10-2015,83,Daniel Craig,Christoph Waltz,Léa Seydoux,55,13,15,4.23,155,2,4,25,4,126,11,Visual Effects,0.54,238,635707597,259.47,3.59,Blockbuster Budget,Profit,Efficient,High Popularity,Highly Profitable,High Popularity - Highly Profitable,2015,10,October,Q4,Autumn,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Pirates of the Caribbean: At World's End,"Action, Adventure, Thriller",Action,Sam Mendes,"Metro-Goldwyn-Mayer, Columbia Pictures, EON Productions",Metro-Goldwyn-Mayer,Daniel Craig,Christoph Waltz,Léa Seydoux
49026,The Dark Knight Rises,250000000,1081041287,17.45,"Action, Crime, Drama, Thriller",Action,4,Christopher Nolan,"Syncopy, Legendary Pictures, Warner Bros. Pictures, DC",Syncopy,4,17-07-2012,158,Christian Bale,Michael Caine,Gary Oldman,73,11,74,6.64,217,3,2,37,5,175,11,Crew,0.73,375,831041287,332.42,4.32,Blockbuster Budget,Profit,Highly Efficient,High Popularity,Highly Profitable,High Popularity - Highly Profitable,2012,7,July,Q3,Summer,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Spectre,"Action, Crime, Drama, Thriller",Action,Christopher Nolan,"Syncopy, Legendary Pictures, Warner Bros. Pictures, DC",Syncopy,Christian Bale,Michael Caine,Gary Oldman
49529,John Carter,263700000,284100000,8.93,"Action, Adventure, Science Fiction",Action,3,Andrew Stanton,Walt Disney Pictures,Walt Disney Pictures,1,07-03-2012,27,Taylor Kitsch,Lynn Collins,Samantha Morton,19,6,2,3.17,132,3,3,25,5,102,11,Costume & Make-Up,0.2,159,20400000,7.74,1.08,Blockbuster Budget,Profit,Moderate,High Popularity,Moderately Profitable,High Popularity - Moderately Profitable,2012,3,March,Q1,Spring,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,The Dark Knight Rises,"Action, Adventure, Science Fiction",Action,Andrew Stanton,Walt Disney Pictures,Walt Disney Pictures,Taylor Kitsch,Lynn Collins,Samantha Morton
559,Spider-Man 3,258000000,894983373,19.37,"Action, Adventure, Science Fiction",Action,3,Sam Raimi,"Laura Ziskin Productions, Marvel Studios, Columbia Pictures",Laura Ziskin Productions,3,01-05-2007,143,Tobey Maguire,Kirsten Dunst,James Franco,33,56,54,0.59,56,3,3,17,13,26,9,Production,2.55,199,636983373,246.89,3.47,Blockbuster Budget,Profit,Efficient,High Popularity,Highly Profitable,High Popularity - Highly Profitable,2007,5,May,Q2,Spring,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,John Carter,"Action, Adventure, Science Fiction",Action,Sam Raimi,"Laura Ziskin Productions, Marvel Studios, Columbia Pictures",Laura Ziskin Productions,Tobey Maguire,Kirsten Dunst,James Franco
38757,Tangled,260000000,592461732,17.78,"Animation, Family, Adventure",Animation,3,Byron Howard,"Walt Disney Animation Studios, Walt Disney Pictures",Walt Disney Animation Studios,2,24-11-2010,13,Zachary Levi,Mandy Moore,Donna Murphy,8,2,3,4,79,1,1,29,3,47,9,Directing,0.16,92,332461732,127.87,2.28,Blockbuster Budget,Profit,Efficient,High Popularity,Highly Profitable,High Popularity - Highly Profitable,2010,11,November,Q4,Autumn,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Spider-Man 3,"Animation, Family, Adventure",Animation,Byron Howard,"Walt Disney Animation Studios, Walt Disney Pictures",Walt Disney Animation Studios,Zachary Levi,Mandy Moore,Donna Murphy
99861,Avengers: Age of Ultron,235000000,1405403694,20.84,"Action, Adventure, Science Fiction",Action,3,Joss Whedon,Marvel Studios,Marvel Studios,1,22-04-2015,72,Robert Downey Jr.,Chris Hemsworth,Mark Ruffalo,22,11,39,2,74,1,1,23,3,48,10,Production,0.97,146,1170403694,498.04,5.98,Blockbuster Budget,Profit,Highly Efficient,High Popularity,Highly Profitable,High Popularity - Highly Profitable,2015,4,April,Q2,Spring,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Tangled,"Action, Adventure, Science Fiction",Action,Joss Whedon,Marvel Studios,Marvel Studios,Robert Downey Jr.,Chris Hemsworth,Mark Ruffalo
767,Harry Potter and the Half-Blood Prince,250000000,933959197,19.15,"Adventure, Fantasy",Adventure,2,David Yates,"Warner Bros. Pictures, Heyday Films",Warner Bros. Pictures,2,15-07-2009,49,Daniel Radcliffe,Rupert Grint,Emma Watson,24,17,8,1.41,27,3,1,9,5,13,8,Art,1.81,76,683959197,273.58,3.74,Blockbuster Budget,Profit,Efficient,High Popularity,Highly Profitable,High Popularity - Highly Profitable,2009,7,July,Q3,Summer,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Avengers: Age of Ultron,"Adventure, Fantasy",Adventure,David Yates,"Warner Bros. Pictures, Heyday Films",Warner Bros. Pictures,Daniel Radcliffe,Rupert Grint,Emma Watson
209112,Batman v Superman: Dawn of Justice,250000000,874362803,15.91,"Action, Adventure, Fantasy",Action,3,Zack Snyder,"Warner Bros. Pictures, RatPac Entertainment, Atlas Entertainment, Cruel & Unusual Films, DC",Warner Bros. Pictures,5,23-03-2016,152,Ben Affleck,Henry Cavill,Gal Gadot,84,40,28,2.1,111,2,2,28,5,78,11,Production,1.37,263,624362803,249.75,3.5,Blockbuster Budget,Profit,Efficient,High Popularity,Highly Profitable,High Popularity - Highly Profitable,2016,3,March,Q1,Spring,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Harry Potter and the Half-Blood Prince,"Action, Adventure, Fantasy",Action,Zack Snyder,"Warner Bros. Pictures, RatPac Entertainment, Atlas Entertainment, Cruel & Unusual Films, DC",Warner Bros. Pictures,Ben Affleck,Henry Cavill,Gal Gadot
